No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	23	100nF	C2,C27,C33,C34,C35,C36,C38,C39,C41,C43,C44,C46,C50,C52,C54,C55,C56,C58,C59,C63,C65,C81,C82	C0603	100nF	CC0603KRX7R9BB104	YAGEO(国巨)	C14663	LCSC
2	9	100nF	C6,C7,C9,C13,C14,C16,C20,C21,C23	C0603	100nF	CL10B104KA8NNNC	SAMSUNG(三星)	C1590	LCSC
3	3	1uF	C8,C15,C22	C0603	1uF	CL10B105KA8NNNC	SAMSUNG(三星)	C29936	LCSC
4	4	1uF	C10,C17,C24,C40	C0603	1uF	CGA0603X5R105K500JT	HRE(芯声)	C6119852	LCSC
5	3	1nF	C11,C19,C26	C1206	1nF	1206B102K102NT	FH(风华)	C1941	LCSC
6	1	47nF	C45	C0603	47nF	CL10B473KB8NNNC	SAMSUNG(三星)	C1622	LCSC
7	2	22pF	C47,C48	C0603	22pF	CL10C220JB8NNNC	SAMSUNG(三星)	C1653	LCSC
8	1	10uF	C64	C0805	10uF	CGA0805X5R106K250MT	HRE(芯声)	C6119887	LCSC
9	1	47uF	C66	C0805	47uF	CL21A476MQYNNNE	SAMSUNG(三星)	C16780	LCSC
10	3	560uF	C69,C70,C71	CAP-TH_BD22.0-P10.00-D2.3-FD	560uF	LS567M200N40RR0VH2SP0	Chengx(承兴)	C46446	LCSC
11	5	1uF	C73,C74,C75,C76,C80	C1825	1uF	C1825C105K2RAC7800	KEMET(基美)	C2180017	LCSC
12	2	100nF	C77,C78	C1210	100nF	CC1210KKX7RABB104	YAGEO(国巨)	C527376	LCSC
